,datetime_event_began,NERC_region,area_affected,event_type,demand_loss_(MW),number_of_customers_affected,datetime_of_restoration
160,2004-09-26 06:00:00+00:00,FRCC,"Florida counties of Alachua, Bay, Brevard, Citrus, Columbia, Dixie, Flagler, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Jefferson, Lafayette, Lake, Leon, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",Hurricane Jeanne,1800.0,722000,"10/01/04, 12:00 a.m."
161,2004-09-27 08:00:00+00:00,SERC,Georgia,Hurricane Jeanne,854.0,85455,"09/27/04, 2:00 p.m."
162,2004-09-27 16:06:00+00:00,NPCC,Nova Scotia,Switch Error Concerning Breakers,0.0,0,"09/27/04, 4:12 p.m."
163,2004-10-10 17:09:00+00:00,PR,Island Wide,Breaker Failure,0.0,0,"10/11/04, 7:57 p.m."
164,2004-10-18 22:30:00+00:00,WECC,Northern California,Severe Storm with High Wind Gusts,140.0,407440,"10/20/04, 9:00 a.m."
165,2004-10-25 11:00:00+00:00,SPP,Southeastern Louisiana in the New Orleans area,Public Appeal/Breaker Failure and Fire,0.0,0,"10/26/04, 10:00 a.m."
166,2004-10-28 15:27:00+00:00,WECC,"San  Jose, California",Major Transmission Distribution System Interruption,103.0,59458,"10/28/04, 6:08 p.m."
167,2004-10-30 10:00:00+00:00,ECAR,"Lower peninsula of Michigan. following area:  Grand Rapids, Kalamazoo, Battle Creek, Greenville, Jackson,  Flint, Lansing, Allegan, Temperance",Severe Storm with High Wind Gusts,60.0,122000,"11/01/04, 6:00 p.m."
168,2004-10-30 12:30:00+00:00,ECAR,Southeastern Michigan,High Wind Gusts,700.0,159870,"11/03/04, 1:50 p.m."
169,2004-11-09 14:15:00+00:00,NPCC,"Sayreville, New Jersey Long Island, New York",Fuel Supply Deficiency - Williams Company: Event for Trans Continental Gas Pipeline,0.0,0,"11/12/04, 1:07p.m."
170,2004-11-14 04:55:00+00:00,NPCC,Nova Scotia ,"Heavy Snow, High Winds and Rain/Major Distribution System Interruption",165.0,165000,"11/15/04, 1:31 a.m."
171,2004-11-23 22:00:00+00:00,ERCOT,"Houston, Texas and surrounding suburban areas",Strong Thunderstorms,150.0,119000,"11/24/04, 1:00 a.m."
172,2004-11-24 10:00:00+00:00,SERC,Georgia,Strong Thunderstorms,100.0,83450,"11/24/04, 4:00 p.m."
173,2004-12-01 10:00:00+00:00,MAAC,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",High Winds,270.0,122000,"12/02/04, 11:59 p.m."
174,2004-12-01 07:30:00+00:00,MAAC,"Bucks, Chester, Delaware, Montgomery, and Philadelphia Counties, Pennsylvania",Heavy Rain and Wind Storm,0.0,105312,"12/02/04, 10:09 p.m."
175,2004-12-23 03:37:00+00:00,ECAR,Columbus District,Major Freezing Rain and Ice Storm,800.0,359171,"12/31/04, 11:00 p.m."
176,2004-12-27 07:50:00+00:00,WECC,"Salinas, California and surrounding communities",Severe Weather/Line Relayed,100.0,95000,"12/27/04, 10:50 a.m."
177,2005-01-04 18:00:00+00:00,SPP,Eastern one third of the state of Kansas,Winter Storm,200.0,211000,"1/14/05, 12:00 p.m."
178,2005-01-05 16:00:00+00:00,ECAR,Akron and Mansfield areas,Ice Storm,250.0,246990,"1/13/05, 6:00 p.m."
179,2005-01-05 21:10:00+00:00,ECAR,Indiana Michigan Region - Muncie District,Winter Ice Storm,545.0,114791,"1/16/05, 11:00 a.m."
180,2005-01-07 13:00:00+00:00,WECC,Northern California,Winter Storm,120.0,442000,"1/10/05, 8:00 a.m."
181,2005-01-23 10:42:00+00:00,PR,Island of Puerto Rico,Voltage Reduction,140.0,0,"1/23/05, 11:24 a.m.  "
