,datetime_event_began,NERC_region,area_affected,event_type,demand_loss_(MW),number_of_customers_affected,datetime_of_restoration,datetime_of_restoration_cleaned,datetime_event_began_cleaned
132,2004-08-02 10:00:00,SPP,Southeast Texas,Unplanned Generator Outage/High Loads Made Public Appeal,0,0,"8/02/04, 8:00 PM",2004-08-02 20:00:00,2004-08-02 10:00:00
133,2004-08-03 21:00:00,MAIN,Northern Illinois,Severe Storm,127,127000,"8/04/04, 7:00 AM",2004-08-04 07:00:00,2004-08-03 21:00:00
134,2004-08-04 12:46:00,WECC,"Northwest Orange County, California",Fault at Barre Substation,480,182000,"8/04/04, 1:50 PM",2004-08-04 13:50:00,2004-08-04 12:46:00
135,2004-08-09 08:23:00,PR,Whole Island of Puerto Rico,Two Large Units Tripped,451.7,259478,"8/09/04, 11:10 AM",2004-08-09 11:10:00,2004-08-09 08:23:00
136,2004-08-13 08:00:00,FRCC,"Florida counties of Hardee, Highlands, Lake, Orange, Osceola, Polk, Seminole, Volusia",Hurricane Charley,1300,502000,,,2004-08-13 08:00:00
137,2004-08-13 15:00:00,FRCC,West Coast of Florida from Naples to Charlotte and in an area centered around Daytona Beach,Hurricane Charley,1400,1200000,"8/13/04, 11:00 PM",2004-08-13 23:00:00,2004-08-13 15:00:00
138,2004-08-13 13:30:00,FRCC,"Florida counties of Collier, Hendry, Glades, Highlands, Charlotte, Desoto, Lee, Hardee, and Polk",Hurricane Charley,700,200000,,,2004-08-13 13:30:00
139,2004-08-13 16:43:00,FRCC,"Eastern Hillsborough, Polk County, Florida",Hurricane Charley,250,78000,"8/13/04, 8:24 PM",2004-08-13 20:24:00,2004-08-13 16:43:00
140,2004-08-13 22:04:00,FRCC,"New Smyrna Beach, Florida",Hurricane Charley,65,23000,"8/14/04, 4:23 PM",2004-08-14 16:23:00,2004-08-13 22:04:00
141,2004-08-14 13:00:00,SERC,Central and Eastern North Carolina and Northern and Eastern South Carolina,Hurricane Charley,500,94000,"8/14/04, 11:00 PM",2004-08-14 23:00:00,2004-08-14 13:00:00
142,2004-08-20 15:31:00,NPCC,"Boston, Massachusetts",Major Transmission Line Tripped due to Lightning Strike,22700,380000,"8/20/04, 9:45 PM",2004-08-20 21:45:00,2004-08-20 15:31:00
143,2004-08-29 09:52:00,SERC,Southeastern South Carolina,Tropical Storm Gaston,450,125000,"8/29/04, 6:00 PM",2004-08-29 18:00:00,2004-08-29 09:52:00
144,2004-08-30 18:58:00,SERC,"Central Virginia, South to North Carolina and East to the Virginia Coast",Tropical Storm Gaston,150,99816,"8/31/04, 3:35 PM",2004-08-31 15:35:00,2004-08-30 18:58:00
145,2004-09-03 21:00:00,FRCC,"City of Fort Pierce, Florida",Hurricane Frances,125,26000,"9/05/04, 2:00 PM",2004-09-05 14:00:00,2004-09-03 21:00:00
146,2004-09-04 08:00:00,FRCC,"West Palm Beach to Daytona Beach, Florida",Hurricane Frances,6000,2775093,"9/06/04, 8:00 AM",2004-09-06 08:00:00,2004-09-04 08:00:00
147,2004-09-04 10:00:00,FRCC,"Hillsborough, Pasco, and Polk County, Florida",Hurricane Frances,1100,268000,"09/12/04, 7:00 PM",2004-09-12 19:00:00,2004-09-04 10:00:00
148,2004-09-05 01:00:00,FRCC,"Orlando, Florida",Hurricane Frances,200,65000,"09/09/04, 5:00 PM",2004-09-09 17:00:00,2004-09-05 01:00:00
149,2004-09-05 07:00:00,FRCC,"Florida counties of Alachua, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",Hurricane Frances,2100,832898,,,2004-09-05 07:00:00
